games_played,elapsed_time,games_per_sec,avg_score,recent_avg_score,recent_std_score,win_rate,recent_win_rate,avg_loss,recent_loss,epsilon,empty_board_value,embedding_mean,embedding_std,embedding_norm,max_tile_512,max_tile_256,max_tile_128
100,10.420171976089478,9.596770593562544,368.21098979271306,368.21098979271306,136.7451472230668,0.0,0.0,7.846457195281983,7.846457195281983,0.09982,0.6861777305603027,0.017983827739953995,0.9485070109367371,30.34286117553711,1,32,54
200,20.52738904953003,9.743080306873171,363.90675359305794,363.90675359305794,137.07573059380272,0.0,0.0,7.870408630371093,7.870408630371093,0.09946,0.7694755792617798,0.017984258010983467,0.9485068321228027,30.34285545349121,4,61,100
300,31.37969708442688,9.560321732642985,366.8035275354548,366.8035275354548,131.73312333506598,0.0,0.0,7.926348797480265,7.926348797480265,0.09910000000000001,0.8229904174804688,0.017984937876462936,0.9485066533088684,30.342849731445312,4,90,159
400,42.12426400184631,9.49571486833498,372.14671254234264,372.14671254234264,132.35239806621067,0.0,0.0,8.143678748607636,8.143678748607636,0.09874000000000001,0.9319515228271484,0.017986027523875237,0.9485064148902893,30.34284210205078,6,123,212
500,52.90791583061218,9.450381708491022,375.90769071690556,375.90769071690556,131.12546282923364,0.0,0.0,8.181442461013795,8.181442461013795,0.09838000000000001,0.9839006662368774,0.017987597733736038,0.9485061764717102,30.342836380004883,6,160,265
600,63.03926205635071,9.517877913349633,374.2117202261469,374.2117202261469,132.60106572635289,0.0,0.0,8.17871306737264,8.17871306737264,0.09802000000000001,1.0803678035736084,0.017989547923207283,0.9485058784484863,30.34282684326172,8,191,312
700,74.00516486167908,9.458799278514546,376.5839441443835,376.5839441443835,133.8152453805785,0.0,0.0,8.24324175289699,8.24324175289699,0.09766000000000001,1.1534942388534546,0.0179919321089983,0.9485053420066833,30.34281349182129,9,230,359
800,84.39878702163696,9.47880921315738,375.9578491713191,375.9578491713191,134.71864431086175,0.0,0.0,8.25260106921196,8.25260106921196,0.09730000000000001,1.2294621467590332,0.017994500696659088,0.9485046863555908,30.342792510986328,10,265,404
900,94.61127495765686,9.512608305963466,374.66705061398386,374.66705061398386,134.8915386294833,0.0,0.0,8.245556365119086,8.245556365119086,0.09694,1.3372628688812256,0.017997246235609055,0.9485039710998535,30.342771530151367,12,297,454
1000,105.9600260257721,9.437521275775973,377.99007563675553,377.99007563675553,136.17497679295337,0.0,0.0,8.234246397018433,8.234246397018433,0.09658,1.4076769351959229,0.018000271171331406,0.9485031962394714,30.342748641967773,16,337,499
1100,116.07746291160583,9.476430414727975,376.5193547738542,377.3501912719683,134.95552139033103,0.0,0.0,8.1986515825445,8.233871021270751,0.09622,1.5257112979888916,0.018003586679697037,0.9485024809837341,30.342727661132812,16,333,499
1200,126.90140414237976,9.456160143457783,377.555385139892,380.28511144925886,133.35336504733553,0.0,0.0,8.21902692715327,8.288750586509705,0.09586,1.5771691799163818,0.0180071871727705,0.9485018849372864,30.342710494995117,13,344,504
1300,137.6564998626709,9.44379670627183,377.4373518007312,380.62749908031407,133.7485360286866,0.0,0.0,8.20790064885066,8.29236620426178,0.0955,1.6189244985580444,0.018010927364230156,0.9485011696815491,30.34269142150879,13,350,495
1400,148.77207493782043,9.410368179546683,379.3436309760032,382.2223983494674,135.1543761428684,0.0,0.0,8.210347867012024,8.237015514373779,0.09514,1.7577145099639893,0.018015004694461823,0.9485006928443909,30.34267807006836,13,360,480
1500,159.79192113876343,9.387207997189037,380.7783184602494,383.21363233192136,137.82693592842264,0.0,0.0,8.216679096221924,8.234297413825988,0.09478,1.8223202228546143,0.01801927760243416,0.9485002160072327,30.342668533325195,15,361,476
1600,171.1163170337677,9.35036487306035,382.2885138310146,387.1345899939351,138.4036110059426,0.0,0.0,8.247570884227752,8.28888557434082,0.09442,1.8882535696029663,0.01802372932434082,0.9484996199607849,30.342649459838867,17,371,475
